time	V(vout)
Step Information: Run=0  (Run: 1/129)
8.639256526991339e-001	2.005338e-002
8.639256716436314e-001	2.625034e-002
8.639256881597426e-001	3.558140e-002
8.639257031960064e-001	5.043255e-002
8.639257178470921e-001	7.585247e-002
8.639257337596753e-001	1.216576e-001
8.639257499565787e-001	1.925564e-001
8.639257757308734e-001	3.394386e-001
8.639258022651113e-001	5.102977e-001
8.639258306887285e-001	7.023519e-001
8.639258754641226e-001	1.008424e+000
8.639259650149107e-001	1.598503e+000
8.639260560217323e-001	2.144894e+000
8.639261497683215e-001	2.648395e+000
8.639261934621985e-001	2.828038e+000
8.639262421411864e-001	2.948209e+000
8.639262860248493e-001	3.007072e+000
8.639263238924535e-001	3.033617e+000
8.639263660461332e-001	3.050521e+000
8.639264185178064e-001	3.063293e+000
8.639264915869269e-001	3.074095e+000
8.639265795813316e-001	3.081853e+000
8.639267134567596e-001	3.088662e+000
8.639268781291989e-001	3.093406e+000
8.639271537796169e-001	3.097567e+000
8.639275954680805e-001	3.100793e+000
8.639302178818227e-001	3.105155e+000
8.639336959554562e-001	3.106049e+000
8.639406521027233e-001	3.106364e+000
8.863380381644035e-001	3.106283e+000
9.103380381643476e-001	3.106284e+000
9.406380381642769e-001	3.106285e+000
9.756380381641954e-001	3.106286e+000
1.012738038164109e+000	3.106287e+000
1.058738038164002e+000	3.106287e+000
1.111838038163878e+000	3.106288e+000
1.115138038163870e+000	3.106288e+000
1.177038038163726e+000	3.106288e+000
1.217538038163632e+000	3.106285e+000
1.286938038163470e+000	3.106213e+000
1.319938038163393e+000	3.106047e+000
1.357438038163306e+000	3.105447e+000
1.385438038163240e+000	3.103812e+000
1.400238038163206e+000	3.097321e+000
1.400338038163206e+000	3.096797e+000
1.400438038163205e+000	3.096063e+000
1.400450538163206e+000	3.095914e+000
1.400475538163207e+000	3.095516e+000
1.400532569413205e+000	3.089842e+000
1.400538038163205e+000	3.081157e+000
1.400539405350706e+000	3.066836e+000
1.400539795975707e+000	3.051776e+000
1.400539852509990e+000	3.047551e+000
1.400539965578552e+000	3.033110e+000
1.400540029890738e+000	3.018412e+000
1.400540101993286e+000	2.986486e+000
1.400540151127228e+000	2.940450e+000
1.400540195238897e+000	2.850203e+000
1.400540249879629e+000	2.654153e+000
1.400540299696946e+000	2.406839e+000
1.400540355619850e+000	2.090080e+000
1.400540420867959e+000	1.696548e+000
1.400540507726454e+000	1.129694e+000
1.400540590262434e+000	5.740383e-001
1.400540659847010e+000	1.152347e-001
1.400540663109503e+000	9.578294e-002
1.400540669634491e+000	6.255286e-002
1.400540675618423e+000	3.753991e-002
1.400540680973510e+000	2.216737e-002
1.400540687616381e+000	1.063889e-002
1.400540689622414e+000	8.622907e-003
1.400540692877215e+000	6.750565e-003
1.400540696466454e+000	5.338069e-003
